Category,Language,Version,FileName,DirectLink
"OFFICE","Publisher2021Retail","Publisher, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Publisher2021Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","SkypeforBusiness2021Retail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusiness2021Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Standard2021Retail","Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Standard2021Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","VisioPro2021Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioPro2021Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","VisioStd2021Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioStd2021Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Word2021Retail","Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Word2021Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Access2019Retail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Access2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","AccessRuntime2019Retail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=AccessRuntime2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Excel2019Retail","Excel, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Excel2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","HomeBusiness2019Retail","Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusiness2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","HomeStudent2019Retail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeStudent2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Outlook2019Retail","Outlook","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Outlook2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Personal2019Retail","Excel, Outlook, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Personal2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","PowerPoint2019Retail","PowerPoint, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PowerPoint2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Professional2019Retail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Professional2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProjectPro2019Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectPro2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProjectStd2019Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectStd2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProPlus2019Retail","Access, Excel, Lync, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProPlus2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Publisher2019Retail","Publisher, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Publisher2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","SkypeforBusiness2019Retail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusiness2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","SkypeforBusinessEntry2019Retail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusinessEntry2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Standard2019Retail","Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Standard2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","VisioPro2019Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioPro2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","VisioStd2019Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioStd2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","Word2019Retail","Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Word2019Retail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","AccessRetail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=AccessRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","AccessRuntimeRetail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=AccessRuntimeRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ExcelRetail","Excel, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ExcelRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","HomeBusinessPipcRetail","Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusinessPipcRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","HomeBusinessRetail","Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusinessRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","HomeStudentRetail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeStudentRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","HomeStudentVNextRetail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeStudentVNextRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","OneNoteFreeRetail","OneNote","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OneNoteFreeRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","OneNoteRetail","OneNote","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OneNoteRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","OutlookRetail","Outlook","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OutlookRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","PersonalPipcRetail","Excel, Outlook, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PersonalPipcRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","PersonalRetail","Excel, Outlook, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PersonalRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","PowerPointRetail","PowerPoint, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PowerPointRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProfessionalPipcRetail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProfessionalPipcRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProfessionalRetail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProfessionalRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProjectProRetail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectProRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProjectStdRetail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectStdRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","ProPlusRetail","Access, Excel, Lync, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProPlusRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","PublisherRetail","Publisher, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PublisherRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","SkypeforBusinessEntryRetail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusinessEntryRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","SkypeforBusinessRetail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusinessRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","SkypeServiceBypassRetail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeServiceBypassRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","StandardRetail","Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=StandardRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","VisioProRetail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioProRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","VisioStdRetail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioStdRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","WordRetail","Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=WordRetail&platform=x64&language=da-dk&version=O16GA"
"OFFICE","AccessRetail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=AccessRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","ExcelRetail","Excel","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ExcelRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","GrooveRetail","Groove","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=GrooveRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","HomeBusinessPipcRetail","Excel, OneNote, Outlook, PowerPoint, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusinessPipcRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","HomeBusinessRetail","Excel, OneNote, Outlook, PowerPoint, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusinessRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","HomeStudentRetail","Excel, OneNote, PowerPoint, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeStudentRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","InfoPathRetail","InfoPath","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=InfoPathRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","LyncAcademicRetail","Lync","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=LyncAcademicRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","LyncEntryRetail","Lync","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=LyncEntryRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","LyncRetail","Lync","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=LyncRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","O365BusinessRetail","Excel, Groove, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365BusinessRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","O365HomePremRetail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365HomePremRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","O365ProPlusRetail","Access, Excel, Groove, InfoPath, Lync, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365ProPlusRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","O365SmallBusPremRetail","Access, Excel, Groove, InfoPath, Lync, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365SmallBusPremRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","OneNoteFreeRetail","OneNote","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OneNoteFreeRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","OneNoteRetail","OneNote","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OneNoteRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","OutlookRetail","Outlook","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OutlookRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","PersonalPipcRetail","Excel, Outlook, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PersonalPipcRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","PersonalRetail","Excel, Outlook, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PersonalRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","PowerPointRetail","PowerPoint","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PowerPointRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","ProfessionalPipcRetail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProfessionalPipcRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","ProfessionalRetail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProfessionalRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","ProjectProRetail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectProRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","ProjectStdRetail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectStdRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","ProPlusRetail","Access, Excel, Groove, InfoPath, Lync, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProPlusRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","PublisherRetail","Publisher","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PublisherRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","SPDRetail","SharePointDesigner","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SPDRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","StandardRetail","Excel, Groove, OneNote, Outlook, PowerPoint, Publisher, Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=StandardRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","VisioProRetail","Visio","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioProRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","VisioStdRetail","Visio","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioStdRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","WordRetail","Word","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=WordRetail&platform=x64&language=da-dk&version=O15GA"
"OFFICE","O365ProPlusRetail","Access, Excel, Lync, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link ❤️","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365ProPlusRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","O365AppsBasicRetail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365AppsBasicRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","O365BusinessRetail","Access, Excel, Lync, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365BusinessRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","O365EduCloudRetail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365EduCloudRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","O365HomePremRetail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365HomePremRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","O365SmallBusPremRetail","Access, Excel, Lync, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=O365SmallBusPremRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectProRetail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectProRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","VisioProRetail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioProRetail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Access2024Retail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Access2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Excel2024Retail","Excel, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Excel2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Home2024Retail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Home2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","HomeBusiness2024Retail","Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusiness2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Outlook2024Retail","Outlook","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Outlook2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","PowerPoint2024Retail","PowerPoint, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PowerPoint2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectPro2024Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectPro2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectStd2024Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectStd2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProPlus2024Retail","Access, Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProPlus2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","VisioPro2024Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioPro2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","VisioStd2024Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioStd2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Word2024Retail","Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Word2024Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Access2021Retail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Access2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Excel2021Retail","Excel, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Excel2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","HomeBusiness2021Retail","Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusiness2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","HomeStudent2021Retail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeStudent2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","OneNote2021Retail","OneNote","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=OneNote2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Outlook2021Retail","Outlook","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Outlook2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Personal2021Retail","Excel, Outlook, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Personal2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","PowerPoint2021Retail","PowerPoint, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PowerPoint2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Professional2021Retail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Professional2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectPro2021Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectPro2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectStd2021Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectStd2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProPlus2021Retail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProPlus2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Publisher2021Retail","Publisher, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Publisher2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","SkypeforBusiness2021Retail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusiness2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Standard2021Retail","Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Standard2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","VisioPro2021Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioPro2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","VisioStd2021Retail","Visio, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=VisioStd2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Word2021Retail","Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Word2021Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Access2019Retail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Access2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","AccessRuntime2019Retail","Access","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=AccessRuntime2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Excel2019Retail","Excel, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Excel2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","HomeBusiness2019Retail","Excel, OneNote, Outlook, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeBusiness2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","HomeStudent2019Retail","Excel, OneNote, PowerPoint, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=HomeStudent2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Outlook2019Retail","Outlook","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Outlook2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Personal2019Retail","Excel, Outlook, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Personal2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","PowerPoint2019Retail","PowerPoint, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=PowerPoint2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Professional2019Retail","Access, Excel, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Professional2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectPro2019Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectPro2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProjectStd2019Retail","Project","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProjectStd2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","ProPlus2019Retail","Access, Excel, Lync, OneNote, Outlook, PowerPoint, Publisher, Word, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=ProPlus2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","Publisher2019Retail","Publisher, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=Publisher2019Retail&platform=x64&language=de-de&version=O16GA"
"OFFICE","SkypeforBusiness2019Retail","Lync, OneDrive","Link","https://c2rsetup.officeapps.live.com/c2r/download.aspx?ProductreleaseID=SkypeforBusiness2019Retail&platform=x64&language=de-de&version=O16GA"
